X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-15165425.295737,7960318.4997891,1952,19440,19080,PELICAN,US,57.966667,-136.233333,57,58,N,136,14,W,CP08,17303,V,CN,G,N,N,N, , ,A, ,N,N,8, , , ,Y, , , ,Y, , , , , , , ,Y,Y,Y,Y,Y, ,Y,Y, , , ,Y,N, , , , , , , , , ,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,C, , 
1196684.52602769,8381207.96501294,1953,23810,20620,OSLO,NO,59.916667,10.75,59,55,N,10,45,E,193,43372,L,CN,G,N,N,N,Y, ,J,E,N,N,1,L,Y,Y,Y,Y,Y,Y,Y, ,Y, ,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A, ,L
-15178412.5696629,8009449.16390865,1954,19450,19080,ELFIN COVE,US,58.2,-136.35,58,12,N,136,21,W,CP08,17302,V,CN,G,N,N,N,Y, ,P, , , ,0, , , , , , , , , , , , , , , , , , ,Y,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1185552.57694836,8325895.89918672,1955,23820,20620,DROBAK,NO,59.666667,10.65,59,40,N,10,39,E,193,43374/1,V,CB,G,N,N,N,Y, ,J,G,O, ,1, , , ,Y, , ,N,Y, ,Y, ,Y, , , ,Y,Y, , , , ,Y,Y, , , ,Y, , ,N, , , , , , , , , , , , ,Y,Y, , , , , , , 
-13762799.7117417,6252267.72511076,1956,18570,18080,CROFTON,CA,48.866667,-123.633333,48,52,N,123,38,W,154,18413,V,CN,F,N,N,N,Y,N, ,A,J, ,4,L,Y,Y,Y,N,Y,Y,Y,Y, , ,Y,Y,Y, ,Y,Y, ,Y, ,Y,Y,Y, , , ,Y,Y, ,N,N,N,N, , , , ,Y,N,N,Y,Y,Y,Y,N,Y,N,N,C, , 
-15078225.0279489,7991865.59403439,1957,19460,19080,HOONAH,US,58.116667,-135.45,58,7,N,135,27,W,CP08,17302,V,CN,G,N,N,N, , , ,B,O,N,13, ,Y, , , , , ,Y, , , , , , , ,Y, ,Y,Y,Y, ,Y,Y, , , ,N,Y, , , , , , , , , ,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,C, , 
-13760944.3868952,6232547.59747765,1958,18580,18080,COWICHAN BAY,CA,48.75,-123.616667,48,45,N,123,37,W,154,18414,V,CN,F,N,N,N,Y,N,K,A,L, ,2,L,Y,Y,Y,N,Y,Y,Y, , , ,Y,Y,Y, ,Y, ,Y, , ,Y,Y,Y, , , ,Y,Y, ,N, , , , , , , ,Y, , , , ,Y,Y,Y,Y, , ,C, , 
601125.250283677,8333246.94164196,1959,23310,20620,MOSTERHAMN,NO,59.7,5.4,59,42,N,5,24,E,182,43324,V,CN,G,N,Y,N,Y,N,G,G,O, ,0,M, , ,N,N,Y, , , , , , , , , ,Y, , , , , ,Y,Y, ,Y, , , , ,N, , , , , , , , , , , , , ,Y,Y, , , , , , 
-13746101.7881227,6249447.75279128,1960,18600,18080,GANGES,CA,48.85,-123.483333,48,51,N,123,29,W,154,18414,V,CN,F,N,N,N,Y,N,J,M,N, ,8,M,Y, , , , , ,Y, , ,Y, , , , ,Y, , , ,Y, ,Y,Y, , , ,Y,Y, ,N, , , , , , ,Y, , , , , ,Y,Y, ,Y, , ,C, ,S
599269.925437123,8347971.01048573,1961,23330,20620,SAGVAG,NO,59.766667,5.383333,59,46,N,5,23,E,182,43323,V,CN,G,Y,Y,N,Y,N,L,K,J, ,0,M, , ,N,N,Y, , ,Y,Y, , , , , ,Y, , , , , ,Y,Y, , , , , , ,N, , , , , , , , , , , , , ,Y, , , , ,C, ,S
